,Location,Building Model,Overlay District,Improvements,Land,Total
2641,33 COURTYARD PL,Res Condo,,8.691099476439792,,8.691099476439792
3356,55 ELDRED ST,Residential,,15.015974440894569,9.900990099009901,11.643090315560393
5526,1 HILLTOP AVE,Residential,,11.881188118811881,9.9601593625498,10.816777041942604
10771,33 TAFT AVE,Residential,,41.09195402298851,9.919028340080972,22.802850356294538
11904,23 WHIPPLE RD,Residential,,15.0,9.968354430379748,11.587982832618025
2684,17 CRESCENT RD,Residential,,15.168539325842698,10.142348754448399,12.091503267973856
6230,28 LEDGELAWN AVE,Residential,,11.891891891891893,9.836065573770492,10.663764961915124
1701,74 BURLINGTON ST,Residential,,11.1368909512761,10.039370078740157,10.543130990415335
287,22 APRIL LN,Res Condo,,5.363128491620111,,5.363128491620111
148,9 AERIAL ST,Residential,,15.625,10.119047619047619,12.5
4533,14 GLEASON RD,Residential,,15.936254980079681,10.014947683109119,11.630434782608695
2428,435 CONCORD AVE,Residential,,-99.68652037617555,0.0,-34.79212253829322
9948,60 SCHOOL ST,Residential,,15.644820295983086,9.887640449438202,12.854030501089325
11256,2 VILLAGE CIR,Residential,,17.51592356687898,10.069444444444445,12.696629213483146
3942,41 FARMCREST AVE,Residential,,15.835140997830802,9.868421052631579,12.8680479825518
12240,60 WOBURN ST #1,Res Condo,,4.270109235352533,,4.270109235352533
10532,9 SPRINGDALE RD,Residential,,15.606936416184972,9.930313588850174,12.065217391304348
9836,17 RUMFORD RD,Residential,,15.841584158415841,10.048622366288493,11.956521739130435
6132,28 LEDGELAWN AVE,Residential,,11.891891891891893,9.836065573770492,10.663764961915124
4434,1 FULLER RD,Residential,,15.605095541401273,10.066006600660065,11.956521739130435
5513,74 HILLCREST AVE,Residential,,17.322834645669293,9.9601593625498,13.137032842582105
9470,2 RAYMOND ST,Residential,,11.375661375661375,10.133843212237094,10.654827968923417
7366,537 MARRETT RD,Residential,,14.912280701754385,9.980430528375733,11.957796014067995
12509,242 WORTHEN RD E,Residential,,17.197452229299362,10.06825938566553,12.555555555555555
2686,20 CRESCENT RD,Residential,,11.855670103092782,9.981515711645102,10.76426264800861
12526,242 WORTHEN RD E,Residential,,17.197452229299362,10.06825938566553,12.555555555555555
2908,18 DIAMOND RD,Residential,,22.66187050359712,9.886547811993516,13.854748603351954
10567,10 STEVENS RD,Residential,,12.376237623762377,9.9601593625498,11.037527593818984
617,4 BATES RD,Residential,,22.629310344827587,10.159362549800797,16.149068322981368
12542,6 WYMAN RD,Residential,,15.238095238095239,10.019646365422396,12.378902045209902
8114,22 MIDDLE ST,Residential,,11.614730878186968,9.844559585492227,10.515021459227468
2003,37 CEDAR ST,Residential,,11.931818181818182,9.85663082437276,10.659340659340659
5529,17 HILLTOP AVE,Residential,,12.646370023419204,9.9601593625498,11.194833153928956
202,60 ALLEN ST,Residential,,12.681159420289855,9.968354430379748,10.79295154185022
7481,21 MASON ST,Residential,,21.91780821917808,10.06711409395973,13.963963963963963
8914,4 PATTERSON RD,Residential,,15.126050420168067,9.946714031971581,11.956521739130435
3978,7 FESSENDEN WAY,Residential,,21.691176470588236,10.016155088852988,13.580246913580247
6680,17 LONGFELLOW RD,Residential,,11.708860759493671,10.033444816053512,10.61269146608315
1646,119 BURLINGTON ST,Residential,,11.357340720221606,9.75609756097561,10.37433155080214
2945,6 DONALD ST,Residential,,12.585812356979407,10.121457489878543,11.278195488721805
764,81 BEDFORD ST,Residential,VO,0.0,9.82905982905983,4.604604604604605
7218,307 MARRETT RD,Residential,,15.66265060240964,9.97624703087886,13.057671381936888
1731,1 BURNS RD,Residential,,16.012084592145015,9.9644128113879,12.206047032474803
10315,3 SMITH FARM LN,Res Condo,,1.66015625,,1.66015625
5476,87 HILL ST,Residential,,,0.0,-37.56786102062975
