,Location,Building Model,Overlay District,Improvements,Land,Total
2812,16 DEMAR RD,Residential,,108.29493087557604,10.0,48.29443447037702
9888,34 SADDLE CLUB RD,Residential,,2.0408163265306123,10.057803468208093,6.511927788523534
5823,14 JOHN POULTER RD,Residential,,5.46984572230014,9.89010989010989,7.83289817232376
11576,608 WALTHAM ST,Residential,,6.493506493506493,9.970674486803519,8.04447351209941
7372,563 MARRETT RD,Residential,,16.273849607182942,9.786476868327403,13.764624913971094
7693,915 MASSACHUSETTS AVE,Residential,,6.904761904761905,9.8981077147016,8.25147347740668
52,8 LINMOOR TER,Residential,,6.48508430609598,10.052910052910052,8.25147347740668
4908,121 GROVE ST,Residential,,6.873614190687362,9.538950715421304,7.968647942521227
11117,53 VAILLE AVE,Residential,,7.496977025392987,9.928057553956835,8.607095926412615
3082,4 DUDLEY RD,Residential,,6.455266138165346,9.861325115562405,7.898172323759792
7672,898 MASSACHUSETTS AVE,Residential,,5.4748603351955305,9.922480620155039,7.337662337662337
6918,508  LOWELL ST,Residential,,6.553398058252427,10.085227272727272,8.180628272251308
12087,83 WINTER ST,Residential,,15.302491103202847,10.016155088852988,13.064295485636116
5269,25 HAYWARD AVE,Residential,,6.534653465346535,10.095238095238095,7.752442996742672
7136,147 MAPLE ST,Residential,,16.206482593037215,10.112359550561797,13.598901098901099
12419,32 WOODLAND RD,Residential,,5.487804878048781,10.0418410041841,7.6122316200390365
6058,5 LANTERN LN,Residential,,7.418856259659969,9.977064220183486,8.887425938117183
2404,246 CONCORD AVE,Residential,,6.096256684491978,9.950248756218906,7.607282184655396
177,6 ALCOTT RD,Residential,,14.102564102564102,9.913793103448276,12.127371273712736
8925,1 PATTERSON RD,Residential,,16.209476309226932,9.878419452887538,13.356164383561644
1086,39 BERTWELL RD,Residential,,13.010204081632654,10.014306151645208,11.59811193526635
584,43 BASKIN RD,Residential,,60.81370449678801,9.975669099756692,28.394103956555472
8440,16 NICKERSON RD,Residential,,14.26448736998514,10.049627791563276,11.967545638945234
4882,138 GROVE ST,Residential,,13.068181818181818,9.983361064891847,11.816340310600944
7111,91 MAPLE ST,Residential,,16.149870801033593,10.029069767441861,13.269493844049249
3992,4 FIELD RD,Residential,,12.749615975422426,9.892729439809298,11.140939597315436
9912,19 SANDERSON RD,Residential,,14.17624521072797,9.956709956709958,12.195121951219512
9920,46 SANDERSON RD,Residential,,6.4610866372980915,10.035419126328216,8.44240837696335
9423,72 PROSPECT HILL RD,Residential,,135.55555555555557,15.736766809728184,56.468366383380555
2499,556 CONCORD AVE,Residential,,15.085158150851582,9.216589861751153,12.491513917175832
6801,191 LOWELL ST,Residential,,16.281895504252734,10.062893081761008,13.570938999314599
12454,10 WOODPARK CIR,Residential,,6.592039800995026,9.94236311239193,8.144192256341789
6590,11 LITCHFIELD RD,Residential,,9.005847953216374,10.0,9.438943894389439
4210,193 FOLLEN RD,Residential,,6.430868167202572,10.05524861878453,8.578912901113293
6375,21 LINCOLN ST,Residential,,12.797281993204985,10.071942446043165,11.744266851980543
9885,19 SADDLE CLUB RD,Residential,,6.466165413533835,10.057803468208093,8.49673202614379
11574,504 WALTHAM ST,Residential,,13.561470215462613,7.303370786516854,10.592938041305796
2188,8 CIDER MILL LN,Residential,,16.331658291457288,10.044977511244378,13.46548188653452
6299,4 LIBERTY AVE,Residential,,16.116248348745046,10.0,13.156100886162235
5769,3 JEFFERSON DR,Res Condo,,6.752411575562702,,6.752411575562702
11565,604 WALTHAM ST,Residential,,6.474820143884892,9.659090909090908,7.932379713914174
1418,10 BOWSER RD,Residential,,6.475903614457831,10.034602076124568,8.491182233834095
9855,2 RYDER LN,Residential,,14.074074074074074,10.0,11.851851851851853
11791,47 WEBSTER RD,Residential,,3.699788583509514,10.032362459546926,6.202046035805626
4737,62 GRASSLAND ST,Residential,,6.543075245365322,9.967845659163988,7.927225471085119
2461,470 CONCORD AVE,Residential,,12.903225806451612,10.051107325383304,11.776581426648722
570,37 BASKIN RD,Residential,,7.464788732394366,9.914320685434516,8.775376555337262
9883,20 SADDLE CLUB RD,Residential,,6.475903614457831,10.034602076124568,8.491182233834095
2158,CHILDS RD, ,,,36.11793611793612,36.11793611793612
